state_ID,State_,Tot_Pop,Year,Pop_Dist_White,Pop_Dist_Black,Pop_Dist_Hispanic,Pop_Dist_Asian,Pop_Dist_Am_In,Pop_Dist_Nat_Haw_Pac_Isl,Pop_Dist_Mult_race,Povbr_White,Povbr_Black,Povbr_Hispanic,Povbr_As_PI,Povbr_Am_Na,Povbr_Multiple_Races,Mean_Unempl,Tot_GSP_Mil,snap_tot_ben_Mil,SNAP_no_rep,Pov_Ad_Ch,Pov_Ad_No,Pov_Ad_Tot,Ad_Poor_MH_zero,Ad_Poor_MH_four,Ad_Poor_MH_thirteen,Ad_Poor_MH_fourteen,Cov_Vacc_one
1,Alabama,5049196,2021,64,26,5,1,0,0,4,12,25,24,11,14,18,75749,254109.7,1974053519,776479.08,14,15,15,60,12,12,16,116620512
2,Alaska,734420,2021,58,3,7,7,14,2,11,8,25,13,0,21,12,22426,57349.4,288045258,54650.5,10,11,11,62,14,11,13,613140992
3,Arizona,7274078,2021,52,4,32,3,3,0,5,9,17,17,11,35,11,178610,420026.7,2175824745,898016.08,12,12,12,61,14,11,14,435970391
4,Arkansas,3026870,2021,68,14,8,1,0,0,7,14,27,22,12,12,16,53794,148676.1,765794046,249708.75,15,15,15,62,12,10,16,1145999449
5,California,39142565,2021,34,5,40,15,0,0,5,9,19,15,10,23,12,1389283,3373241,11243441465,5217210.83,11,11,11,59,15,12,14,7499487072
6,Colorado,5814036,2021,65,4,22,3,0,0,5,8,18,15,8,16,12,172520,436359.5,1304761706,564020.08,8,10,10,59,16,13,13,642522509
7,Connecticut,3606607,2021,63,10,18,5,0,0,5,7,15,20,8,0,10,117608,298395.2,980157323,392515.42,9,10,10,63,15,11,11,728798099
8,Delaware,1005062,2021,60,20,10,4,0,0,6,7,17,20,7,0,18,27022,81160,288020710,121174.33,12,11,11,65,13,11,12,129095488
9,Dist. of Columbia,669256,2021,36,43,12,4,0,0,6,5,28,9,17,0,16,25926,153670.5,381121744,138570.08,15,15,15,55,18,15,12,174016228
10,Florida,21831949,2021,51,14,27,3,0,0,5,10,20,16,10,22,14,482694,1255558,8089425782,3089910.75,13,12,12,0,0,0,0,3692596016
11,Georgia,10792060,2021,50,30,10,4,0,0,5,10,20,20,9,27,15,203112,691626.9,4085504054,1543122.42,13,12,13,62,13,11,13,1482532678
12,Hawaii,1447029,2021,20,1,11,38,0,10,21,12,26,14,10,0,13,40101,91096.1,944131080,157619.42,11,11,11,67,13,10,11,
13,Idaho,1904848,2021,79,1,13,1,1,0,5,10,0,14,14,17,15,32747,96282.8,258375969,124043.25,11,10,10,62,14,11,13,505551485
14,Illinois,12700641,2021,59,13,18,6,0,0,4,9,24,14,10,28,14,386998,945673.8,5104129949,2031384.5,11,11,11,65,14,11,11,227224301
15,Iowa,6815907,2021,83,3,7,2,0,0,4,9,31,17,14,41,15,64550,216860.2,727003312,262612.92,9,13,11,63,14,11,12,2271593627
16,Indiana,3198613,2021,77,9,8,2,0,0,5,10,20,19,17,0,17,130983,412975.2,1619482719,598746.5,11,12,12,61,14,12,14,934641010
17,Kansas,2938338,2021,73,5,13,3,0,0,6,10,28,18,10,0,18,50172,191380.6,488517358,186985.25,10,13,12,63,14,11,13,467471951
18,Kentucky,4507583,2021,83,7,4,2,0,0,5,15,25,26,10,42,19,89642,237182,1610391177,554221.08,15,16,16,62,12,10,16,680941697
19,Louisiana,4627971,2021,57,31,6,2,0,0,4,12,32,21,19,26,26,115103,258571.3,2462801412,896550.67,19,18,18,59,13,13,16,622881138
20,Maine,1378931,2021,90,1,2,1,0,0,5,12,30,7,26,0,14,32132,77963.3,409896690,167767.83,10,13,12,64,13,10,13,1456104792
21,Maryland,6179403,2021,48,29,11,7,0,0,5,7,14,16,9,0,12,164592,443929.9,2146479444,671132,9,9,9,62,15,12,11,1137987258
22,Massachusetts,7000474,2021,68,6,13,7,0,0,6,8,15,23,10,12,11,201300,641332.2,2350041332,1084038.67,9,10,10,61,15,12,13,272174596
