KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Total Gross State Product (GSP) (millions of current dollars), 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Gross State Product,"$306,819.70 ","$68,712.00 ","$521,027.20 ","$178,237.90 ","$3,944,376.10 ","$532,489.50 ","$347,569.30 ","$95,414.30 ","$178,134.90 ","$1,622,626.20 ","$821,989.40 ","$109,850.30 ","$122,047.40 ","$1,102,071.40 ","$251,480.80 ","$507,423.80 ","$230,727.00 ","$283,273.40 ","$315,826.70 ","$93,145.40 ","$521,158.90 ","$750,434.80 ","$670,690.40 ","$480,189.50 ","$148,242.50 ","$430,368.80 ","$72,036.70 ","$180,930.00 ","$247,104.50 ","$113,588.70 ","$817,354.10 ","$133,489.50 ","$2,189,391.40 ","$783,202.40 ","$74,913.90 ","$890,206.70 ","$259,543.60 ","$322,886.70 ","$987,637.50 ","$79,040.20 ","$330,779.20 ","$73,261.60 ","$534,216.90 ","$2,636,422.90 ","$279,568.10 ","$44,004.60 ","$722,502.40 ","$820,073.80 ","$101,685.10 ","$422,895.60 ","$51,210.10 "
"Unemployment Rate (Seasonally Adjusted), 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,"53,887","13,873","136,130","40,907","857,765","95,784","67,722","20,316","19,161","302,763","169,983","21,235","27,428","283,992","50,246","109,909","42,445","82,232","75,898","17,330","74,404","131,284","197,174","87,076","42,998","86,079","14,388","22,260","83,057","15,336","187,393","34,435","396,454","183,265","8,322","217,943","59,363","82,573","245,280","16,573","74,130","9,315","115,040","604,913","44,250","7,357","138,428","165,007","27,900","82,245","9,620"
February,"53,034","13,726","133,706","39,700","861,638","96,262","65,829","19,889","19,531","301,476","169,110","20,596","27,216","276,691","48,862","108,926","42,206","81,683","75,469","16,645","69,937","133,243","190,352","87,077","40,875","86,570","14,318","21,619","81,942","14,340","191,383","34,330","390,213","177,931","8,208","210,738","58,249","78,389","239,206","16,152","72,997","9,194","112,235","604,152","44,150","6,740","135,068","160,458","27,225","81,186","9,186"
March,"52,332","13,663","132,637","38,985","861,903","96,923","64,227","19,527","19,576","300,631","168,282","19,904","27,259","270,360","47,914","108,117","41,590","81,375","73,581","16,295","64,813","130,049","184,080","87,436","39,128","87,371","14,392","21,341","80,675","13,693","195,279","34,295","383,900","174,060","8,013","203,411","57,428","75,305","230,971","15,674","72,030","9,146","109,160","600,923","44,175","6,229","129,625","156,016","27,025","82,035","8,766"
April,"52,004","13,788","133,203","39,066","862,285","97,986","63,232","19,327","19,371","300,422","167,982","19,319","27,598","267,373","47,712","108,256","40,720","81,548","71,067","16,375","58,933","121,619","180,333","88,492","38,078","88,560","14,602","21,462","79,592","13,554","199,797","34,339","379,669","172,196","7,756","197,307","57,228","73,855","221,820","15,171","70,923","9,174","106,449","597,355","44,497","5,945","123,368","152,644","27,444","84,899","8,421"
May,"52,341","14,161","135,675","40,123","867,988","99,425","63,248","19,354","19,108","305,774","168,691","19,003","28,273","269,549","48,508","109,765","39,971","82,278","69,597","16,904","59,625","125,344","180,819","90,186","37,789","90,483","14,973","22,067","79,150","13,972","205,605","34,564","380,833","173,066","7,531","193,971","58,038","74,218","214,292","14,922","69,850","9,306","105,000","595,795","45,249","5,946","118,333","151,537","28,496","89,367","8,211"
June,"53,412","14,712","139,655","41,973","880,841","100,930","64,471","19,551","18,913","310,838","169,958","18,944","29,174","276,275","50,056","112,145","39,490","83,325","69,171","17,827","59,242","122,410","185,659","91,757","38,042","92,976","15,490","23,040","79,416","14,842","212,144","35,048","387,947","175,644","7,407","193,827","59,881","75,887","209,786","14,836","69,189","9,501","105,176","595,764","46,335","6,205","116,312","152,991","29,895","94,466","8,157"
July,"55,583","15,354","144,801","44,516","904,389","102,676","67,418","19,881","18,930","318,397","171,222","19,164","30,199","286,063","51,694","114,851","39,252","84,601","71,119","19,184","61,826","120,581","193,572","92,011","38,504","95,791","16,260","24,165","80,509","16,159","219,075","35,883","401,012","179,428","7,418","196,819","62,682","78,563","209,316","15,392","69,547","9,692","107,231","595,972","47,631","6,682","118,695","157,573","31,400","99,370","8,224"
August,"58,570","15,937","150,202","47,248","936,096","104,624","71,646","20,281","19,155","328,371","172,158","19,623","31,165","296,531","52,866","117,205","39,244","85,862","74,969","20,783","67,775","124,833","201,797","90,761","38,966","98,532","17,218","25,213","82,223","17,655","225,353","36,904","417,246","183,522","7,550","201,937","65,848","81,580","212,616","16,671","70,907","9,839","110,662","595,878","48,891","7,251","125,025","164,619","32,727","103,248","8,341"
September,"61,658","16,308","154,774","49,599","967,670","106,211","76,087","20,647","19,467","335,351","172,349","20,142","31,906","304,518","53,301","118,552","39,325","86,663","79,240","22,318","70,294","124,884","207,435","88,349","39,277","100,744","18,198","26,061","84,029","18,983","229,911","37,822","432,941","186,693","7,745","207,373","68,542","84,142","217,287","18,203","72,805","9,938","114,331","594,020","49,845","7,747","132,951","172,283","33,679","105,621","8,444"
October,"64,027","16,465","157,513","51,119","990,811","107,391","79,578","20,891","19,758","340,910","171,744","20,528","32,313","307,973","52,994","118,848","39,299","86,994","82,734","23,453","73,224","127,066","209,625","85,757","39,354","101,875","18,978","26,548","85,320","19,920","232,532","38,457","444,709","188,410","7,890","210,845","70,117","85,951","220,716","19,525","74,511","9,967","116,940","590,482","50,342","8,054","139,209","178,091","34,189","106,646","8,481"
November,"64,404","16,394","157,204","51,093","993,488","107,650","80,254","20,898","19,860","339,932","170,925","20,585","32,226","306,229","52,321","118,241","39,193","86,843","83,171","23,601","71,561","123,662","208,114","84,785","39,251","101,431","19,118","26,449","85,420","20,013","232,151","38,509","446,258","187,979","7,904","210,758","69,905","86,165","221,269","19,796","74,957","9,924","117,082","588,105","50,198","8,050","140,230","179,040","34,079","106,067","8,450"
December,"64,101","16,322","156,449","50,736","990,259","107,597","79,876","20,858","19,863","338,662","170,674","20,538","32,090","304,470","52,035","117,890","39,138","86,704","82,627","23,439","70,525","121,744","206,914","84,774","39,169","100,920","19,034","26,287","85,214","19,874","231,481","38,406","444,684","187,400","7,872","209,953","69,486","85,951","220,748","19,641","74,873","9,887","116,637","587,784","50,023","7,979","139,385","178,204","33,903","105,567","8,424"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,"57,113","15,059","144,329","44,589","914,594","101,955","70,299","20,118","19,391","318,627","170,257","19,965","29,737","287,502","50,709","113,559","40,156","84,176","75,720","19,513","66,847","125,560","195,490","88,205","39,286","94,278","16,414","23,876","82,212","16,528","213,509","36,083","408,822","180,800","7,801","204,574","63,064","80,215","221,942","16,880","72,227","9,574","111,329","595,929","47,132","7,015","129,719","164,039","30,664","95,060","8,560"
"SNAP Total Benefits, FY2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
