KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Adult Poverty Rate by Family Structure, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults with Children,15.00%,10.80%,12.00%,14.60%,10.60%,7.40%,8.50%,8.10%,9.00%,11.50%,10.90%,9.80%,7.50%,10.60%,8.00%,10.60%,10.10%,15.00%,17.20%,7.00%,8.30%,8.30%,12.20%,7.90%,16.50%,10.20%,8.90%,8.80%,12.80%,3.50%,8.90%,16.50%,12.70%,12.10%,6.30%,12.10%,14.30%,9.80%,10.30%,8.90%,13.00%,7.80%,12.10%,13.00%,6.10%,9.50%,9.00%,8.20%,17.30%,8.80%,8.80%
Adults with No Children,15.80%,10.20%,12.00%,16.30%,11.30%,9.90%,9.90%,9.10%,12.80%,11.50%,11.80%,11.20%,11.10%,11.20%,12.90%,12.80%,14.20%,16.70%,16.90%,12.00%,9.10%,10.70%,13.00%,10.20%,17.70%,13.10%,14.00%,11.10%,11.10%,7.80%,8.20%,17.50%,13.00%,11.90%,14.10%,13.00%,15.30%,12.80%,11.60%,10.80%,13.50%,12.40%,12.60%,11.60%,9.80%,10.30%,11.00%,10.50%,17.90%,10.70%,13.70%
Total,15.50%,10.40%,12.00%,15.70%,11.10%,9.10%,9.40%,8.80%,12.00%,11.50%,11.50%,10.80%,9.70%,11.00%,11.10%,12.00%,12.70%,16.10%,17.00%,10.40%,8.80%,9.90%,12.70%,9.40%,17.30%,12.10%,12.30%,10.20%,11.60%,6.50%,8.50%,17.20%,12.90%,12.00%,11.20%,12.70%,15.00%,11.90%,11.10%,10.20%,13.40%,10.60%,12.40%,12.10%,8.30%,10.00%,10.30%,9.70%,17.70%,10.10%,11.80%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Poverty Rate by Family Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic.  Data may not sum to totals due to rounding. The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $24,526 in 2023. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2023 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html). Data include the civilian noninstitutionalized population in the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Adults With Children:* indicates all adults identified as parents of a child under 18 that currently live in a household with that child.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
