KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Total Gross State Product (GSP) (millions of current dollars), 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Gross State Product,"$254,109.70 ","$57,349.40 ","$420,026.70 ","$148,676.10 ","$3,373,241.00 ","$436,359.50 ","$298,395.20 ","$81,160.00 ","$153,670.50 ","$1,255,558.00 ","$691,626.90 ","$91,096.10 ","$96,282.80 ","$945,673.80 ","$216,860.20 ","$412,975.20 ","$191,380.60 ","$237,182.00 ","$258,571.30 ","$77,963.30 ","$443,929.90 ","$641,332.20 ","$572,205.80 ","$412,458.60 ","$127,307.70 ","$358,572.00 ","$58,699.80 ","$146,285.40 ","$194,486.60 ","$99,673.30 ","$682,945.90 ","$109,582.80 ","$1,901,297.00 ","$662,120.80 ","$63,559.60 ","$756,617.20 ","$215,336.30 ","$272,190.90 ","$844,496.50 ","$66,570.90 ","$269,802.50 ","$61,684.70 ","$427,125.50 ","$2,051,769.00 ","$225,340.30 ","$37,103.80 ","$604,957.60 ","$677,489.50 ","$85,434.20 ","$368,611.30 ","$41,510.20 "
"Unemployment Rate (Seasonally Adjusted), 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,"93,619","24,368","223,626","64,811","1,631,366","195,158","129,025","27,939","27,212","596,074","247,554","63,698","37,567","451,977","69,273","158,191","60,744","92,582","144,025","30,067","199,915","257,699","307,786","134,869","80,824","148,108","21,801","30,571","134,295","32,115","336,944","76,769","814,810","273,696","16,443","342,982","93,961","135,948","477,951","37,391","107,985","13,655","178,254","952,085","56,535","14,558","205,510","244,638","47,125","145,841","15,525"
February,"88,224","24,382","218,962","63,581","1,605,786","196,491","127,761","28,662","26,281","565,668","237,189","61,770","37,276","441,196","70,096","153,660","57,270","91,615","139,229","32,229","194,373","243,532","300,798","128,616","79,450","146,557","21,249","30,405","127,306","30,854","337,438","76,367","797,576","269,445","15,579","335,589","91,559","133,813","459,442","36,426","103,791","13,366","173,821","934,370","54,183","14,827","200,214","236,886","46,057","142,575","15,320"
March,"84,363","24,534","212,131","62,139","1,588,165","193,520","126,765","29,199","26,138","546,164","228,962","56,921","36,421","430,404","71,187","149,196","55,193","91,091","135,069","33,670","190,866","231,629","296,300","124,611","77,916","144,575","20,680","30,072","120,039","29,856","334,186","74,507","772,897","264,922","14,731","328,546","89,266","131,306","439,960","35,598","100,856","13,243","169,709","910,552","51,881","14,690","195,267","229,052","45,258","138,399","15,003"
April,"82,290","24,625","205,027","60,339","1,569,394","193,223","127,390","29,330","26,393","527,298","221,429","52,341","35,619","424,487","72,047","145,980","54,375","91,189","131,311","34,994","186,166","226,904","296,998","122,411","76,277","141,607","20,335","29,553","114,781","29,209","334,737","73,887","753,529","258,519","13,914","322,716","86,944","127,673","422,682","35,599","98,708","13,218","166,361","884,076","50,393","14,130","188,707","221,403","44,287","134,621","14,633"
May,"79,685","23,929","195,383","57,858","1,504,791","185,914","124,097","28,995","26,680","507,432","213,914","46,164","34,373","413,628","71,509","141,099","53,548","91,218","125,813","34,504","179,842","212,864","295,082","119,247","74,188","136,470","19,783","28,658","108,287","27,996","324,614","70,626","713,162","251,360","13,037","313,193","83,891","120,325","404,975","34,461","96,904","13,065","160,429","849,578","48,539","13,225","181,163","212,940","42,967","129,289","14,096"
June,"77,742","23,835","186,036","55,633","1,490,100","185,459","124,330","28,670","27,484","502,521","207,802","42,373","33,529","407,584","70,486","136,917","53,070","91,741","122,031","35,109","178,757","211,399","294,888","117,200","71,732","131,357","19,411","28,027","103,734","27,096","336,768","70,121","713,835","248,553","12,304","304,429","80,460","115,753","393,128","34,693","95,715","12,966","154,659","835,097","47,259","12,300","173,189","207,709","41,607","124,619","13,565"
July,"74,656","22,611","174,754","52,479","1,403,253","177,830","119,876","27,693","26,987","477,719","199,460","36,455","32,492","391,999","67,845","130,631","51,396","91,650","114,195","34,068","168,586","198,645","287,157","113,690","68,527","124,986","18,794","27,253","98,166","25,563","322,282","67,217","671,687","242,065","11,554","292,542","75,334","107,393","376,278","33,292","93,175","12,635","146,896","796,876","45,507","11,465","162,759","200,311","39,679","118,370","12,968"
