KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Adult Poverty Rate by Family Structure, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults with Children,13.80%,8.80%,10.70%,13.00%,10.60%,7.30%,9.50%,9.20%,11.00%,11.20%,12.40%,7.80%,7.80%,9.70%,9.00%,10.50%,9.60%,15.70%,17.10%,8.30%,7.30%,8.60%,12.00%,6.90%,15.80%,9.60%,8.80%,7.50%,11.20%,4.60%,8.70%,19.10%,12.50%,11.60%,6.80%,11.70%,15.00%,10.50%,10.30%,9.30%,12.80%,12.90%,12.90%,12.40%,7.20%,5.40%,8.30%,7.90%,15.20%,8.70%,11.20%
Adults with No Children,15.00%,12.50%,12.20%,15.50%,11.00%,9.50%,9.50%,10.60%,13.00%,11.20%,12.00%,12.10%,11.10%,11.20%,11.90%,12.30%,12.30%,16.10%,17.90%,11.10%,9.80%,10.10%,13.40%,10.10%,16.90%,12.10%,13.40%,11.40%,10.80%,7.70%,8.40%,14.80%,12.60%,11.70%,12.20%,13.00%,15.30%,13.30%,11.80%,9.30%,12.80%,11.40%,12.30%,11.70%,10.30%,13.70%,10.40%,10.70%,17.90%,11.00%,12.90%
Total,14.60%,11.30%,11.70%,14.60%,10.90%,8.80%,9.50%,10.10%,12.50%,11.20%,12.10%,10.70%,9.80%,10.70%,10.80%,11.70%,11.30%,16.00%,17.60%,10.20%,8.90%,9.60%,12.90%,9.00%,16.50%,11.30%,11.80%,9.90%,10.90%,6.70%,8.50%,16.20%,12.60%,11.70%,10.20%,12.50%,15.20%,12.40%,11.30%,9.30%,12.80%,12.00%,12.50%,11.90%,9.10%,11.00%,9.70%,9.70%,17.00%,10.20%,12.30%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Poverty Rate by Family Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic.  Data may not sum to totals due to rounding. The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $24,526 in 2023. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2023 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html). Data include the civilian noninstitutionalized population in the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Adults With Children:* indicates all adults identified as parents of a child under 18 that currently live in a household with that child.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
