KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Poverty Rate by Race/Ethnicity, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,11.60%,7.90%,9.10%,13.80%,9.10%,7.70%,6.60%,5.90%,6.30%,9.70%,9.00%,10.70%,9.00%,8.40%,9.30%,10.30%,10.00%,15.30%,12.90%,9.50%,6.70%,7.60%,10.60%,7.00%,11.80%,10.80%,10.60%,8.70%,10.10%,6.60%,6.50%,12.20%,9.80%,9.40%,8.70%,10.50%,13.00%,10.90%,8.70%,7.30%,9.70%,8.10%,10.90%,8.30%,7.00%,8.90%,8.40%,8.60%,17.00%,8.70%,11.10%
Black,26.80%,N/A,14.50%,29.50%,18.70%,19.00%,14.30%,12.50%,20.70%,19.40%,17.80%,N/A,28.20%,25.60%,37.50%,25.00%,20.70%,27.00%,29.10%,31.60%,13.00%,16.50%,26.80%,26.80%,29.40%,25.40%,N/A,22.90%,21.40%,N/A,16.10%,19.00%,22.00%,19.00%,N/A,26.50%,27.20%,19.00%,23.90%,11.80%,23.60%,N/A,21.50%,19.50%,16.90%,N/A,17.60%,18.10%,32.60%,27.20%,37.00%
Hispanic,28.80%,12.30%,16.30%,20.30%,14.80%,12.30%,18.70%,17.40%,N/A,15.00%,16.10%,12.50%,13.70%,13.60%,12.20%,15.90%,20.60%,24.00%,19.60%,13.40%,12.50%,19.90%,18.90%,17.80%,19.90%,18.30%,26.90%,14.40%,13.50%,12.20%,15.70%,19.70%,20.60%,21.70%,N/A,20.70%,19.20%,15.30%,23.40%,23.20%,18.90%,17.60%,20.60%,18.60%,12.10%,16.70%,14.30%,14.80%,19.60%,18.00%,11.50%
Asian/Native Hawaiian or Pacific Islander,10.00%,14.10%,11.20%,21.10%,9.50%,8.70%,9.60%,N/A,12.30%,9.40%,9.30%,10.20%,N/A,9.60%,17.60%,13.80%,9.80%,10.30%,13.80%,N/A,8.50%,11.50%,9.30%,10.40%,16.00%,11.30%,N/A,6.70%,11.70%,6.10%,5.80%,15.20%,14.00%,7.40%,N/A,13.80%,12.50%,12.00%,11.20%,N/A,10.40%,N/A,9.30%,9.30%,10.30%,N/A,7.40%,8.30%,N/A,11.30%,N/A
American Indian or Alaska Native,11.10%,23.80%,31.10%,10.90%,17.10%,22.70%,N/A,N/A,N/A,18.90%,N/A,N/A,23.10%,20.90%,40.90%,24.50%,17.60%,N/A,18.40%,N/A,N/A,N/A,21.10%,31.30%,N/A,13.70%,33.70%,23.80%,23.60%,N/A,32.50%,32.30%,20.70%,22.60%,32.20%,N/A,20.00%,16.80%,N/A,N/A,31.10%,36.20%,N/A,13.60%,21.10%,N/A,15.90%,18.30%,N/A,24.10%,26.90%
Multiple Races,19.00%,11.80%,10.50%,14.80%,11.10%,8.30%,10.60%,10.10%,9.50%,14.60%,13.00%,10.10%,17.70%,16.10%,15.60%,15.90%,16.40%,24.30%,18.70%,16.40%,11.70%,12.80%,15.20%,12.50%,27.20%,13.80%,11.10%,18.00%,13.70%,6.70%,9.10%,13.40%,14.80%,16.30%,25.80%,20.20%,17.40%,12.40%,16.10%,11.20%,16.60%,12.70%,18.20%,11.70%,8.60%,17.20%,10.60%,10.70%,25.70%,11.50%,11.10%
Total,16.50%,11.40%,12.60%,16.80%,12.10%,9.20%,9.90%,8.70%,13.30%,12.70%,12.60%,10.60%,10.20%,12.00%,11.00%,12.40%,12.30%,16.90%,18.50%,10.30%,9.60%,10.40%,13.30%,9.60%,19.10%,12.80%,12.50%,10.50%,12.60%,6.80%,9.70%,17.80%,14.20%,13.00%,11.10%,13.40%,15.60%,11.90%,11.90%,10.80%,14.10%,11.20%,13.40%,13.90%,8.10%,9.90%,10.70%,10.00%,17.80%,10.70%,11.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Distribution by Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic.  Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.  Population numbers are rounded to the nearest 100. Data include the civilian noninstitutionalized population in the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided. Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty Rate by Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
